action,accepted_trials,trial_id,nearest_dtw_distance,dtw_threshold,frames
HALF_RAISED,3,1,0.167738182795699,0.335476365591398,66
HALF_RAISED,3,2,0.0582255727513228,0.335476365591398,57
HALF_RAISED,3,3,0.0582255727513228,0.335476365591398,55
PICKING,3,4,0.0691504000914495,0.138300800182899,51
PICKING,3,5,0.0360205172413793,0.138300800182899,52
PICKING,3,6,0.0360205172413793,0.138300800182899,58
