===== Pretest calibration commands =====
n -> neutral pose capture
f -> flex straight capture
b -> flex bent capture
1 -> select HALF_RAISED action
2 -> select PICKING action
s -> start trial
e -> end trial
a -> accept last ended trial
r -> reject last ended trial
h -> help
NEUTRAL_START
DATA,33376,FLEX_STRAIGHT,0,NONE,1.000,0.227,0.027,-0.321,2.550,-0.725,-0.870,-0.209,-0.270,-2.977,-3.519,-0.534,54.88,59.62,1866,0.0,0,0
DATA,33451,FLEX_STRAIGHT,0,NONE,0.998,0.230,0.037,-2.214,-0.924,-0.076,-0.880,-0.207,-0.259,-2.084,-0.794,-0.198,55.68,60.43,1869,0.0,0,0
DATA,33526,FLEX_STRAIGHT,0,NONE,1.002,0.232,0.026,-1.802,-1.130,0.840,-0.877,-0.209,-0.263,-1.947,1.618,0.191,56.48,61.39,1870,0.0,0,0
DATA,33601,FLEX_STRAIGHT,0,NONE,0.993,0.232,0.028,-3.618,-2.893,1.298,-0.869,-0.210,-0.263,-0.092,2.580,1.458,57.39,62.35,1869,0.0,0,0
DATA,33676,FLEX_STRAIGHT,0,NONE,1.005,0.231,0.032,-6.435,-3.565,1.191,-0.879,-0.212,-0.265,1.924,2.893,2.069,58.31,63.27,1869,0.0,0,0
DATA,33751,FLEX_STRAIGHT,0,NONE,0.990,0.239,0.031,-3.809,-2.947,1.771,-0.874,-0.218,-0.252,-0.427,2.840,1.802,59.19,64.27,1869,0.0,0,0
DATA,33826,FLEX_STRAIGHT,0,NONE,0.997,0.228,0.029,-3.374,-1.145,1.611,-0.873,-0.210,-0.258,-0.863,1.824,1.389,59.96,65.20,1868,0.0,0,0
DATA,33901,FLEX_STRAIGHT,0,NONE,1.003,0.231,0.028,-2.137,-0.954,1.405,-0.878,-0.213,-0.265,-2.435,-0.015,0.954,60.72,66.06,1870,0.0,0,0
DATA,33976,FLEX_STRAIGHT,0,NONE,1.000,0.227,0.035,-1.267,0.718,1.130,-0.876,-0.208,-0.265,-1.794,-1.336,0.985,61.36,66.82,1868,0.0,0,0
DATA,34051,FLEX_STRAIGHT,0,NONE,0.998,0.231,0.030,-0.534,1.076,0.649,-0.876,-0.212,-0.259,-3.427,-1.863,0.099,61.96,67.58,1870,0.0,0,0
DATA,34126,FLEX_STRAIGHT,0,NONE,0.996,0.226,0.034,0.550,1.244,0.931,-0.871,-0.211,-0.267,-4.092,-2.053,-0.061,61.20,68.34,1869,0.0,0,0
DATA,34201,FLEX_STRAIGHT,0,NONE,0.997,0.226,0.025,-0.069,1.405,0.740,-0.872,-0.207,-0.268,-4.000,-2.069,-0.084,61.82,69.11,1870,0.0,0,0
DATA,34276,FLEX_STRAIGHT,0,NONE,1.005,0.223,0.021,-1.985,0.748,0.618,-0.876,-0.203,-0.271,-2.611,-1.710,0.733,62.44,69.85,1870,0.0,0,0
DATA,34351,FLEX_STRAIGHT,0,NONE,1.011,0.234,0.031,-2.809,2.458,0.710,-0.883,-0.219,-0.273,-0.038,0.664,1.198,61.70,70.67,1871,0.0,0,0
DATA,34426,FLEX_STRAIGHT,0,NONE,1.001,0.220,0.105,-0.336,10.435,-0.626,-0.931,-0.215,-0.237,-3.023,7.107,-6.885,60.21,71.90,1870,0.0,0,0
DATA,34501,FLEX_STRAIGHT,0,NONE,0.984,0.267,0.107,0.649,5.107,-5.725,-0.950,-0.234,-0.246,2.344,32.260,-14.802,59.36,74.51,1845,0.0,0,0
DATA,34576,FLEX_STRAIGHT,0,NONE,0.977,0.272,0.101,19.328,-3.473,-12.198,-0.894,-0.316,-0.354,-10.137,74.252,-39.443,59.58,80.13,1754,0.0,0,0
DATA,34651,FLEX_STRAIGHT,0,NONE,1.031,0.257,-0.031,12.756,18.084,-11.595,-0.822,-0.351,-0.471,15.122,111.122,-47.618,59.29,87.57,1648,0.0,0,0
DATA,34726,FLEX_STRAIGHT,0,NONE,1.022,0.263,-0.038,15.626,-1.695,-17.908,-0.666,-0.325,-0.602,-12.725,98.145,-50.191,60.58,95.44,1545,0.0,0,0
DATA,34801,FLEX_STRAIGHT,0,NONE,0.993,0.347,-0.057,6.359,-6.748,-29.107,-0.563,-0.395,-0.648,11.656,89.420,-47.527,62.31,102.08,1471,0.0,0,0
